.geo,year,point_id,date,ndvi,savi,evi,rainfall,temp,wind_speed,soil_moisture,bsi,chl,humidity,lswi,ndmi,ndre,psri,vpd
"{""type"": ""Point"", ""coordinates"": [33.95418199019508, -0.6635666521473983]}",2026,40,1/5/2026,-0.431446541,-0.646763042,1.718436874,0.0,24.33121707,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.462248099878565, 1.4857677010405608]}",2026,41,1/5/2026,0.326804701,0.490138481,0.581383773,0.0,24.76782188,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.34229949217953, 1.007615716327408]}",2026,42,1/5/2026,0.726645768,1.089797837,1.808958951,0.0,26.19824181,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.24014984952712, 0.02532949576194238]}",2026,43,1/5/2026,0.425198871,0.637716485,0.837630169,0.0,19.83585574,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.82931766279166, 1.3782367471866261]}",2026,44,1/5/2026,0.450867052,0.676137732,1.019830028,0.0,26.17871056,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.77043326664333, 0.4051742849073829]}",2026,45,1/5/2026,0.532001355,0.797866938,1.083000138,0.0,22.0383297,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.032789048288684, 0.2547165863766595]}",2026,46,1/5/2026,0.587544666,0.881204543,1.591317572,0.0,22.75244102,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.884805562830984, -0.23326295895480242]}",2026,47,1/5/2026,0.818813469,1.228056112,1.791603321,0.0,23.69181277,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.100024982085856, 0.6916729751148043]}",2026,48,1/5/2026,0.689460981,1.033983511,1.675791944,0.0,18.28263308,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.44974170915522, -0.8996371138111987]}",2026,49,1/5/2026,0.637864937,0.956656347,1.7998003,0.0,19.20507774,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.77829644718711, 0.24884453329708087]}",2026,50,1/5/2026,0.51855635,0.777702128,1.13301592,0.0,20.18074506,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.08809596438492, -0.6008319010129799]}",2026,52,1/5/2026,-0.060099027,-0.090146616,0.102710747,0.0,23.63468386,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.2959196071805, -0.794301276940496]}",2026,54,1/5/2026,0.788182112,1.182082324,2.137103835,0.0,18.62817345,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.990316582885335, 0.26144130628658363]}",2026,57,1/5/2026,0.369388476,0.553984803,0.62202381,0.0,23.85571251,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.27333432013022, -0.7010756458199473]}",2026,58,1/5/2026,0.615157704,0.922631877,3.396391882,0.0,22.16894493,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.23769764695385, -0.8366474854146763]}",2026,59,1/5/2026,0.545549738,0.818217511,1.209939619,0.0,19.16235313,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.46415094825279, -0.38606766317619906]}",2026,60,1/5/2026,0.72929571,1.093818098,2.181880577,0.0,23.62402306,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.17914960581044, 1.3903262294421255]}",2026,61,1/5/2026,0.184236453,0.276309309,0.339917596,0.0,29.45304324,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.101008649309705, -0.771554378243916]}",2026,62,1/5/2026,0.444498778,0.666666667,3.297062024,0.0,23.67016563,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.3050958136367, -0.3661192634752606]}",2026,63,1/5/2026,0.370098039,0.555062031,-0.722488038,0.0,24.50846316,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.00847667467617, 1.1021677258413485]}",2026,64,1/5/2026,0.310320029,0.465396369,0.623645035,0.0,26.43831342,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.05310799568869, 0.7941165842734438]}",2026,65,1/5/2026,0.399590164,0.59930849,0.773809524,0.0,17.73290977,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.80188615833538, 0.5461482790753517]}",2026,66,1/5/2026,0.750518519,1.125611021,1.941888991,0.0,20.66284142,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.64531003512349, 0.941054790804107]}",2026,67,1/5/2026,0.375319149,0.562858966,0.6565431,0.0,23.01603152,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.24872681500187, 0.39425636436067385]}",2026,68,1/5/2026,0.508716323,0.762872987,1.318094717,0.0,17.84912071,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.94996680368851, -0.02935634543035994]}",2026,70,1/5/2026,0.413015582,0.619466593,-0.867005311,0.0,20.27197227,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.196193253832895, 0.6766172638544785]}",2026,71,1/5/2026,0.518404908,0.777507987,1.808776311,0.0,22.25740522,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.27298219498101, 1.0848774286331282]}",2026,73,1/5/2026,0.412903226,0.619212163,-2.231075697,0.0,21.32788048,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.19721945782283, 0.5991946822743878]}",2026,75,1/5/2026,0.249928592,0.374839355,0.304051706,0.0,23.69278933,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.32158125152822, -0.8678916888581668]}",2026,76,1/5/2026,0.406151915,0.609164139,-3.208264463,0.0,22.42097944,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.44555542431655, -0.17659447954160756]}",2026,79,1/5/2026,0.492382693,0.738461538,-3.079268293,0.0,18.00764936,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.29376035986189, 1.1884220881729366]}",2026,82,1/5/2026,0.628977273,0.943331913,3.500948767,0.0,21.86783816,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.84882186461372, 0.2641937250726069]}",2026,83,1/5/2026,-0.014711916,-0.022067227,0.03544597,0.0,21.41080691,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.64985051813878, -1.0227492855047209]}",2026,84,1/5/2026,0.575871113,0.863644877,1.59937565,0.0,18.19083621,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.45006153028152, 0.9681134076070831]}",2026,85,1/5/2026,0.086353685,0.129514776,0.219027641,0.0,18.16723595,,0.0,,,,,,,,
